Id,Corr,CummCorr
0,906416,906416
5000,1781681,2688097
10000,1904893,4592990
15000,2159471,6752461
20000,2211028,8963489
25000,2100673,11064162
30000,2042653,13106815
35000,2077567,15184382
40000,2196586,17380968
45000,2206831,19587799
50000,2125610,21713409
55000,1985959,23699368
60000,1838590,25537958
65000,1797000,27334958
70000,1750090,29085048
75000,1724268,30809316
80000,1501325,32310641
85000,1392704,33703345
90000,1348877,35052222
95000,1071759,36123981
100000,941828,37065809
105000,753848,37819657
110000,632285,38451942
115000,544645,38996587
120000,469546,39466133
125000,409329,39875462
130000,360917,40236379
135000,316156,40552535
140000,316928,40869463
145000,297777,41167240
150000,269486,41436726
155000,228481,41665207
160000,199129,41864336
165000,165455,42029791
170000,125295,42155086
175000,86811,42241897
180000,53855,42295752
185000,29941,42325693
190000,12115,42337808
195000,5019,42342827
200000,1204,42344031
